region,state,lga,adm2_pcode,coverage_status,match_method,exclusion_reason,partners_covering
North-Central,Benue,Ado,NG007001,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Agatu,NG007002,covered,exact,none,CRS
North-Central,Benue,Apa,NG007003,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Buruku,NG007004,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Gboko,NG007005,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Guma,NG007006,covered,exact,none,COOPI
North-Central,Benue,Gwer East,NG007007,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Gwer West,NG007008,covered,exact,none,CRS
North-Central,Benue,Katsina-Ala,NG007009,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Konshisha,NG007010,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Kwande,NG007011,covered,exact,none,Save the Children
North-Central,Benue,Logo,NG007012,covered,exact,none,CRS
North-Central,Benue,Makurdi,NG007013,covered,exact,none,Malteser
North-Central,Benue,Obi,NG007014,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Ogbadibo,NG007015,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Ohimini,NG007016,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Oju,NG007017,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Okpokwu,NG007018,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Oturkpo,NG007019,not_covered,proposed,partner_coverage_declined,
North-Central,Benue,Tarka,NG007020,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Ukum,NG007021,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Ushongo,NG007022,not_covered,exact,partner_coverage_declined,
North-Central,Benue,Vandeikya,NG007023,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Adavi,NG023001,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Ajaokuta,NG023002,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Ankpa,NG023003,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Bassa,NG023004,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Dekina,NG023005,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Ibaji,NG023006,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Idah,NG023007,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Igalamela-Odolu,NG023008,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Ijumu,NG023009,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Kabba/Bunu,NG023010,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Kogi,NG023011,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Lokoja,NG023012,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Mopa-Muro,NG023013,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Ofu,NG023014,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Ogori/Magongo,NG023015,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Okehi,NG023016,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Okene,NG023017,not_covered,exact,partner_coverage_declined,
North-Central,Kogi,Olamabolo,NG023018,not_covered,proposed,partner_coverage_declined,
