site_id,iom_site_id,iom_site_name,iom_site_type,iom_site_ward,region,adm1_name,adm2_name,households_in_cluster,dtm_gps_lat,dtm_gps_lon,flagged_camp,backup_gps_lat,backup_gps_lon,extent_delineation_failed,extent_source_note,backup_point_method
idp_NG008003_1,BO_S262,Gssss Camp Bama,Camp,Shehuri / Hausari / Mairi,NE,Borno,Bama,35519,11.505350009786454,13.685789963756156,TRUE,11.507624039350222,13.688341154450402,FALSE,"Imagery-delineated (Esri World Imagery, visual review vs. Google Open Buildings footprint overlay, high confidence): Dense regular grid clearly visible and mostly isolated from town fabric further out; DTM point sits toward south edge of the block, shifted estimate slightly N/NE to better centre on the visible dense grid.",imagery_delineated
idp_NG008013_7,BO_S113,El-Miskin Camp I Camp,Camp,Old Maiduguri,NE,Borno,Jere,10642,11.877790010381151,13.179959964237794,TRUE,11.877003129132378,13.178927108550049,TRUE,Fixed-radius buffer fallback (300m) - satellite imagery reviewed but no camp-specific structure confidently distinguishable from surrounding built-up area. Site sits within continuous dense Jere/Maiduguri peri-urban fabric with no distinguishable camp-specific boundary; a regular white-roof grid ~150m NW of the point may be relevant but cannot be confidently attributed to this site specifically. Fixed-radius buffer fallback.,fixed_radius_fallback_flagged_camp
idp_NG008025_1,BO_S135,International School Camp,Camp,Ngala Ward,NE,Borno,Ngala,9937,12.35903001179322,14.170399963467975,TRUE,12.358267342861875,14.168420300694658,FALSE,"Imagery-delineated (Esri World Imagery, visual review vs. Google Open Buildings footprint overlay, high confidence): Isolated wedge-shaped dense settlement block clearly separated from surrounding farmland by open ground; a secondary dense block ~150m S also visible and included within radius. High confidence.",imagery_delineated
idp_NG008024_5,BO_S097,Water Board,Collective Settlement/Centre,Monguno,NE,Borno,Monguno,9613,12.684260012226522,13.614689963994822,TRUE,12.683628581628144,13.613854023784294,TRUE,Fixed-radius buffer fallback (300m) - satellite imagery reviewed but no camp-specific structure confidently distinguishable from surrounding built-up area. Site sits within continuous dense Monguno town fabric with no distinguishable camp-specific boundary. Fixed-radius buffer fallback.,fixed_radius_fallback_flagged_camp
idp_NG008019_1,BO_S204,Government Girls' Secondary School,Collective Settlement/Centre,Mafa,NE,Borno,Mafa,6647,11.920330010631734,13.591529963891746,TRUE,11.92079548896668,13.592340288595958,FALSE,"Imagery-delineated (Esri World Imagery, visual review vs. Google Open Buildings footprint overlay, medium confidence): Distinct regular grid block visible, extending mostly N of the DTM point (point sits near the block's southern edge, consistent with a registration-point-not-centroid pattern); block is contiguous with surrounding town fabric to the E so extent estimate is less certain than isolated-site cases.",imagery_delineated
idp_NG008024_10,BO_S059,Government Girls Secondary School (Ggss),Collective Settlement/Centre,Monguno,NE,Borno,Monguno,6007,12.679540012220588,13.62305996398684,TRUE,12.678609022693776,13.622066620003247,TRUE,Fixed-radius buffer fallback (300m) - satellite imagery reviewed but no camp-specific structure confidently distinguishable from surrounding built-up area. Site sits within continuous dense Monguno town fabric with no distinguishable camp-specific boundary. Fixed-radius buffer fallback.,fixed_radius_fallback_flagged_camp
idp_NG008011_8,BO_S239,Reception/Transit Camp,Camp,Pulka/Bokko,NE,Borno,Gwoza,4466,11.231770009229573,13.776279963647152,TRUE,11.232180738762136,13.77751175535616,FALSE,"Imagery-delineated (Esri World Imagery, visual review vs. Google Open Buildings footprint overlay, high confidence): Distinct regular small-shelter grid pattern (visually different texture from surrounding town) directly at/around the DTM point; a second similar grid block ~300m SW likely a related but separate cluster, not included to keep the estimate conservative.",imagery_delineated
idp_NG008015_3,BO_S277,Klagaru Camp,Collective Settlement/Centre,"Rann ""A""",NE,Borno,Kala/Balge,4348,12.26995201173064,14.467852963203326,TRUE,12.26945923447299,14.46789885386147,FALSE,"Imagery-delineated (Esri World Imagery, visual review vs. Google Open Buildings footprint overlay, high confidence): Isolated roughly circular settlement blob clearly separated from surrounding riverine/farmland terrain; DTM point sits near the N edge of the blob, most of the mass extends S.",imagery_delineated
idp_NG007006_7,BN_S064,Ortese Camp,IDPs In Camps,Nyiev,NC,Benue,Guma,3864,8.006190001291204,8.553946968148612,TRUE,8.005844630288351,8.553715960928374,FALSE,"Imagery-delineated (Esri World Imagery, visual review vs. Google Open Buildings footprint overlay, medium confidence): Small distinct regular grid immediately at the DTM point, clearly separated from scattered buildings further E across the road; low absolute footprint count (633) relative to 3,864 recorded households suggests Open Buildings under-detects this rural context, so radius padded beyond the visible grid alone.",imagery_delineated
idp_NG007008_4,BN_S022,Naka Idp Camp,IDPs In Camps,Ikyaghev,NC,Benue,Gwer West,3594,7.583061000424215,8.201442968492326,TRUE,7.583022499818881,8.20027315000375,TRUE,Fixed-radius buffer fallback (300m) - satellite imagery reviewed but no camp-specific structure confidently distinguishable from surrounding built-up area. Site sits within a dispersed rural town (Naka) with continuous scattered building pattern in all directions - no distinguishable camp-specific cluster. Fixed-radius buffer fallback.,fixed_radius_fallback_flagged_camp
