survey_id,cluster_id,status,interview_number,replacement_rank,pop_type,strata_id,region,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,admin3_source,admin3_cod_pcode,admin3_cod_name,uuid_hex,building_id,confidence,building_area_m2,latitude,longitude,x_utm,y_utm,households_in_cluster,target_households,reserve_households,selection_count,certainty_stratum,selection_type,below_target_cluster,reallocated,original_uuid_hex_pop,supplementary_cluster,location_source,households_in_cluster_source,site_radius_m,iom_site_id,iom_site_name,iom_site_type,iom_site_ward,n_other_sites_in_hex,idp_population_category,coverage_status,exclusion_reason,partners_covering,tier2_fallback_used,ward_accessible_status,psu_definition_version
non_idp_NG022015_9_HH05,non_idp_NG022015_9,primary,5,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51505,Libata,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000838013,0.7861,20.5628,10.203099264228838,4.621060031582671,2689576.602887229,1196219.9207923946,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_HH08,non_idp_NG022015_9,primary,8,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51505,Libata,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000833170,0.8339,35.2959,10.19872643639161,4.620835289729475,2689582.8812145595,1195706.8205222846,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_HH11,non_idp_NG022015_9,primary,11,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51505,Libata,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000833271,0.8648,105.1623,10.20067935186159,4.613845611925936,2688758.6093735467,1195884.0764742522,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_HH12,non_idp_NG022015_9,primary,12,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51505,Libata,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000836663,0.8032,42.418,10.201749563024377,4.624538688065222,2689989.635929672,1196087.5301738165,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R01,non_idp_NG022015_9,reserve,NA,1,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000833799,0.8315,42.5847,10.227208145125257,4.622085951327852,2689517.033576082,1199047.2475181278,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R02,non_idp_NG022015_9,reserve,NA,2,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000836081,0.8003,33.9078,10.226013339624911,4.622208616832499,2689540.097709486,1198908.402508936,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R03,non_idp_NG022015_9,reserve,NA,3,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000834659,0.7888,38.8168,10.229671448429686,4.624715142196082,2689803.379156259,1199354.6602126574,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R04,non_idp_NG022015_9,reserve,NA,4,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000837493,0.8528,105.7262,10.220355220281771,4.620641404656378,2689400.4364416646,1198235.1279055877,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R05,non_idp_NG022015_9,reserve,NA,5,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51505,Libata,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000837767,0.7569,17.7487,10.197172123919708,4.6198307415181326,2689477.9722971534,1195517.6729438144,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R06,non_idp_NG022015_9,reserve,NA,6,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000837396,0.8092,74.3886,10.22384067062738,4.624328565346466,2689801.80192663,1198669.8413016824,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R07,non_idp_NG022015_9,reserve,NA,7,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000835172,0.7889,26.907,10.228634603862208,4.622564733977019,2689561.9314294327,1199217.6015673585,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R08,non_idp_NG022015_9,reserve,NA,8,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000834964,0.8723,55.2126,10.22731735036698,4.629987314398602,2690431.645916536,1199118.0286034776,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R09,non_idp_NG022015_9,reserve,NA,9,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000835513,0.8768,89.1215,10.227785448251153,4.625062786467254,2689857.6348172133,1199136.6215237202,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R10,non_idp_NG022015_9,reserve,NA,10,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000837657,0.8852,48.5764,10.217506965233593,4.6235215910638665,2689755.2153855283,1197923.1157918086,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R11,non_idp_NG022015_9,reserve,NA,11,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000836001,0.8485,51.315,10.22594718185602,4.627992186920459,2690210.649996083,1198943.117273113,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG022015_9_R12,non_idp_NG022015_9,reserve,NA,12,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51510,Wara,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_43,nga_buildings_part1_0000834881,0.8505,134.981,10.224497542722252,4.630813525240387,2690548.27286229,1198794.2723920543,5731,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,FACT,NA,Accessible,NA
non_idp_NG007002_1_HH01,non_idp_NG007002_1,primary,1,NA,non_idp,non_idp_NG007002,NC,NG007,Benue,NG007002,Agatu,BNSGTU07,Ogwule - Ogbaulu,GRID3,NA,NA,NC_Benue_Agatu_hex_15,nga_buildings_part1_0000001088,0.8666,174.1233,7.902899988276929,7.734051935822652,3071867.833483493,946567.8503798202,406,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,CRS,NA,Accessible,NA
non_idp_NG007002_1_HH02,non_idp_NG007002_1,primary,2,NA,non_idp,non_idp_NG007002,NC,NG007,Benue,NG007002,Agatu,BNSGTU07,Ogwule - Ogbaulu,GRID3,NA,NA,NC_Benue_Agatu_hex_15,nga_buildings_part1_0000001400,0.8017,66.432,7.904258735006619,7.730377625404315,3071420.55637774,946705.0092350304,406,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none,CRS,NA,Accessible,NA
