adm2_pcode,adm2_name,adm1_pcode,adm1_name,wardname,area_km2,pop_total,pop_type,accessible_status,status_source,reporting_partners,reason_category,covering_partners
NG002001,Demsa,NG002,Adamawa,Bille,273.6672926913563,15276.6279296875,Non-IDP,Accessible,confirmed_by_partner_report,FACT,N/A - fully accessible,FACT
NG002001,Demsa,NG002,Adamawa,Borrong,72.07992376403952,5879.435546875,Non-IDP,Inaccessible,confirmed_by_partner_report,FACT,Physical access (terrain,FACT
NG002001,Demsa,NG002,Adamawa,Demsa,243.33806990652704,22542.365234375,Non-IDP,Accessible,confirmed_by_partner_report,FACT,N/A - fully accessible,FACT
NG002001,Demsa,NG002,Adamawa,Dilli,159.4623951074024,5525.09912109375,Non-IDP,Inaccessible,confirmed_by_partner_report,FACT,Other,FACT
NG002001,Demsa,NG002,Adamawa,Dobeli,7.257835388183594e-6,9.725648124003783e-5,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002001,Demsa,NG002,Adamawa,Dong,200.52528660694898,20594.8359375,Non-IDP,Accessible,confirmed_by_partner_report,FACT,N/A - fully accessible,FACT
NG002001,Demsa,NG002,Adamawa,Dwam,155.44499573718386,22745.318359375,Non-IDP,Accessible,confirmed_by_partner_report,FACT,N/A - fully accessible,FACT
NG002001,Demsa,NG002,Adamawa,Gengle,20.721241205263482,838.16949462890625,Non-IDP,Inaccessible,confirmed_by_partner_report,FACT,Physical access (terrain,FACT
NG002001,Demsa,NG002,Adamawa,Gereng,0.291794880045414,0,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002001,Demsa,NG002,Adamawa,Gorobi,36.60121857758766,1242.0450439453125,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002001,Demsa,NG002,Adamawa,Gundo,11.212957745892048,334.16949462890625,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002001,Demsa,NG002,Adamawa,Gwamba,152.5249403928023,6047.8857421875,Non-IDP,Inaccessible,confirmed_by_partner_report,FACT,Physical access (terrain,FACT
NG002001,Demsa,NG002,Adamawa,Kodomti,2.0900634856518137,57.0175666809082,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002001,Demsa,NG002,Adamawa,Kpasham,252.74620679058884,30512.68359375,Non-IDP,Accessible,confirmed_by_partner_report,FACT,N/A - fully accessible,FACT
NG002001,Demsa,NG002,Adamawa,Libbo,3.1192991049837024,61.42121124267578,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002001,Demsa,NG002,Adamawa,Mayo-Lope,2.098045498991769e-5,0.02196350507438183,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002001,Demsa,NG002,Adamawa,Mbula,75.33057736321574,3607.09228515625,Non-IDP,Accessible,confirmed_by_partner_report,FACT,N/A - fully accessible,FACT
NG002001,Demsa,NG002,Adamawa,Nassarawo Demsa,138.5315107949438,24696.150390625,Non-IDP,Accessible,confirmed_by_partner_report,FACT,N/A - fully accessible,FACT
NG002001,Demsa,NG002,Adamawa,Ndikong,45.049209141563416,3121.505126953125,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002001,Demsa,NG002,Adamawa,Sabon Pegi,11.958952380882204,151.52305603027344,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002001,Demsa,NG002,Adamawa,Suktu,51.08139804202239,1183.9293212890625,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002001,Demsa,NG002,Adamawa,Yolde Kohi,58.18035554114008,2947.036376953125,Non-IDP,Accessible,default_unreported,NA,NA,FACT
NG002002,Fufore,NG002,Adamawa,Beti,597.9311932478686,41098.578125,Non-IDP,Accessible,confirmed_by_partner_report,FACT,N/A - fully accessible,FACT
NG002002,Fufore,NG002,Adamawa,Bole Yolde Pate,67.90426936197233,3142.256103515625,Non-IDP,Accessible,confirmed_by_partner_report,FACT,N/A - fully accessible,FACT
NG002002,Fufore,NG002,Adamawa,Farang,638.9845646777496,37847.1484375,Non-IDP,Accessible,confirmed_by_partner_report,FACT,N/A - fully accessible,FACT
