State,LGA,Partners covering,Total wards (LGA-scoped portions),Wards reported inaccessible,% of wards inaccessible (by count),"% of target HHs inaccessible (by ward, weighted)",Reported by (across all wards),Most recent report date (across all wards),Non-IDP: population (n_pop),Non-IDP: N_hh,Non-IDP: realized MoE %,IDP: population (n_pop),IDP: N_hh,IDP: realized MoE %
Borno,Abadam,FACT,7,7,100.0,100.0,Partner,2026-04-09,48195.05686569214,8032.509477615356,7.316214376897428,,,
Borno,Gubio,FACT,14,14,100.0,100.0,Partner,2026-04-09,323433.2787246704,53905.54645411173,7.097351021001513,12890,2896,9.12
Borno,Guzamala,FACT,17,17,100.0,100.0,Partner,2026-04-09,225165.82279586792,37527.63713264465,6.563702547209467,,,
Borno,Kukawa,FACT,14,14,100.0,100.0,Partner,2026-04-09,231025.08765792847,38504.18127632141,6.484353726248522,,,
Katsina,Kankara,FACT,19,19,100.0,100.0,Partner,2026-04-09,366127.55994033813,61021.25999005636,6.756745524515568,13789,1995,9.05
Kebbi,Sakaba,FACT,13,13,100.0,100.0,Partner,2026-08-24,170111.28638076782,28351.881063461304,9.27,,,
Kebbi,Shanga,FACT,14,14,100.0,100.0,Partner,2026-04-09,246262.006275177,41043.6677125295,7.219862649980676,,,
Sokoto,Kebbe,FACT,14,14,100.0,100.0,Partner,2026-05-09,156331.7902469635,26055.298374493916,8.333728662324177,1039,185,9.28
Borno,Nganzai,FACT,18,17,94.4,91.1,Partner,2026-04-09,204562.61185073853,34093.76864178976,6.561913362186184,,,
Katsina,Musawa,FACT,17,16,94.1,61.6,Partner,2026-04-09,316237.9446105957,52706.32410176595,9.28,7856,1053,9.13
Katsina,Safana,FACT,17,16,94.1,69.9,Partner,2026-04-09,271703.3266220093,45283.88777033488,6.502699258821533,10804,1534,6.829180139735268
Sokoto,Binji,FACT,11,10,90.9,57.5,Partner,2026-05-09,105715.37819671632,17619.229699452717,8.995685178058878,619,161,8.89
Sokoto,Gudu,FACT,9,8,88.9,38.6,Partner,2026-05-09,60431.252309799194,10071.875384966532,8.3017865026531,1926,328,8.84
Katsina,Malumfashi,FACT,17,15,88.2,68.9,Partner,2026-04-09,275748.4457702637,45958.074295043945,7.970418073672818,9280,1269,6.606048319066514
Katsina,Batsari,FACT,16,14,87.5,58.5,Partner,2026-08-24,294163.5997238159,49027.266620635986,6.862644671001683,20769,3133,7.989214704986017
Sokoto,Tureta,FACT,15,13,86.7,47.3,Partner,2026-05-09,143501.92295074463,23916.98715845744,7.252898000605697,7179,1055,9.13
Katsina,Dan Musa,FACT,14,12,85.7,69.1,Partner,2026-04-09,169247.14657592773,28207.85776265462,7.006353230712452,24005,3685,7.204567934573683
Katsina,Sabuwa,FACT,13,11,84.6,90.3,Partner,2026-04-09,254997.89064788815,42499.6484413147,9.27,2177,305,8.72
Borno,Mobbar,FHI 360,12,10,83.3,32.9,Not yet reported; Partner,2026-08-17,212568.94337898257,35428.15389649709,6.482831930119394,89388,15913,9.255206981728449
Katsina,Bakori,FACT,16,13,81.2,59.0,Partner,2026-08-24,231837.17682266235,38639.529470443726,6.859149589600551,3168,436,7.052123076297913
Katsina,Matazu,FACT,16,13,81.2,70.7,Partner,2026-04-09,179121.65754699707,29853.60959116618,6.542928772217059,3081,418,8.77
Kebbi,Bagudo,FACT,10,8,80.0,51.7,Partner,2026-08-24,337650.07073402405,56275.011789004006,8.55103407435614,,,
Kebbi,Dandi,FACT,10,8,80.0,77.5,Partner,2026-04-09,84165.2982082367,14027.549701372782,9.25,,,
Zamfara,Talata Mafara,FACT,10,8,80.0,70.1,Partner,2026-04-09,342105.08012771606,57017.51335461935,9.28,11837,2294,9.08
Zamfara,Maradun,FACT,13,10,76.9,45.7,Partner,2026-04-09,249163.37823486328,41527.22970581055,7.493670655746926,6025,1153,8.105918548714081
Borno,Mafa,FHI 360,12,9,75.0,37.8,Partner,2026-08-17,74375.48795890808,12395.914659818014,9.03,42100,8276,9.23
Katsina,Dutsin-Ma,FACT,15,11,73.3,34.6,Partner,2026-04-09,281488.0337295532,46914.67228825887,8.549226129562385,9291,1229,8.368637610807019
Adamawa,Guyuk,FACT,11,8,72.7,59.1,Partner,2026-04-09,292051.59965133667,48675.266608556114,9.28,4308,718,8.91
Sokoto,Yabo,FACT,11,8,72.7,53.7,Partner,2026-05-09,154293.33128738403,25715.555214564007,9.00433429159574,,,
Kebbi,Augie,FACT,14,10,71.4,64.6,Needs review; Partner,2026-08-24,93895.49839019775,15649.249731699623,7.7784701557768,,,
Sokoto,Silame,FACT,13,9,69.2,66.2,Partner,2026-05-09,94377.22797966003,15729.537996610006,9.25,3386,686,8.88
Zamfara,Birnin Magaji,FACT,13,9,69.2,29.6,Partner,2026-04-09,191211.05641555783,31868.509402592976,7.690137318281645,10936,2149,9.06
Katsina,Dandume,FACT,12,8,66.7,87.6,Partner,2026-04-09,234716.06490707395,39119.34415117899,9.27,2142,306,8.73
Kebbi,Arewa-Dandi,FACT,12,8,66.7,45.2,Partner,2026-05-09,159575.74143981934,26595.956906636555,7.024905587968353,,,
Yobe,Tarmua,FACT,12,8,66.7,32.3,Partner,2026-04-09,227214.20594596863,37869.0343243281,9.27,3961,768,8.96
Zamfara,Zurmi,FACT,12,8,66.7,36.0,Partner,2026-04-09,317667.7117805481,52944.61863009135,8.343924648093834,17630,3375,9.14
Katsina,Kafur,FACT,14,9,64.3,64.6,Partner,2026-04-09,304676.0131492615,50779.335524876915,7.803246150965043,4771,623,6.676651157871229
Sokoto,Gada,FACT,11,7,63.6,34.5,Partner,2026-05-09,260010.1434020996,43335.02390034994,9.27,1014,183,9.25
Kebbi,Fakai,FACT,16,10,62.5,72.5,Partner,2026-04-09,208391.96883010864,34731.994805018105,9.27,,,
Sokoto,Dange-Shuni,FACT,12,7,58.3,21.7,Partner,2026-05-09,388864.90714645386,64810.81785774231,9.28,4615,896,9.05
Kebbi,Wasagu/Danko,FACT,15,8,53.3,47.1,Partner,2026-04-09,520977.7491378784,86829.62485631306,9.28,,,
Borno,Chibok,IMC,14,7,50.0,31.8,Needs review; Not yet reported,2026-08-22,161582.26644706726,26930.377741177876,7.55951764883585,18091,3653,8.645525747192853
Borno,Damboa,IMC,12,6,50.0,31.2,Needs review; Not yet reported,2026-08-23,219812.11930274963,36635.35321712494,7.590148153164182,114070,25722,8.763153467545594
Katsina,Danja,FACT,16,8,50.0,17.5,Partner,2026-04-09,157020.44081115723,26170.073468526203,7.485428150295044,1728,223,8.58
Katsina,Faskari,FACT,10,5,50.0,23.7,Partner,2026-04-09,330287.731716156,55047.955286026,9.28,7533,941,9.07
Kebbi,Jega,FACT,12,6,50.0,33.3,Partner,2026-08-24,257889.7555541992,42981.62592569987,9.27,,,
Yobe,Potiskum,FACT,12,6,50.0,11.6,Partner,2026-04-09,504638.78034973145,84106.4633916219,9.28,8340,1270,9.21
