State,LGA,Ward (GRID3),Ward (OCHA/COD),Ward spans multiple LGAs (Y/N),Other LGA(s) sharing this ward,Partners covering this LGA-ward portion,Non-IDP clusters,IDP clusters,Total target HHs (primary),Accessible status,Status source,Reporting partner(s),Reported by,Reason category,Reason notes,Date reported by partner,Last reported date,% target achieved so far (as reported)
Adamawa,Demsa,Demsa,Demsa,Yes,Yola South,FACT,2,4,46,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Dong,Dong,No,,FACT,2,2,36,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Kpasham,Kpasham,No,,FACT,3,1,30,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Borrong,Borrong,No,,FACT,1,1,28,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Nassarawo Demsa,Nassarawo Demsa,Yes,Numan,FACT,2,1,23,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Bille,Bille,No,,FACT,3,1,21,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Gwamba,Gwamba,No,,FACT,1,1,18,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Dwam,Dwam,No,,FACT,3,0,15,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Dilli,Dilli,No,,FACT,1,1,8,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This is was not in our previous list but it belongs to Demsa LGA ,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Mbula,Mbula,No,,FACT,0,1,6,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Gengle,Bille,Yes,Mayo-Belwa,FACT,1,0,3,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Pariya,Pariya,Yes,Girei,FACT,3,2,49,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Mayo Inne,Mayo Inne,Yes,Jada; Mayo-Belwa,FACT,3,2,41,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Fufore,Fufore,No,,FACT,4,1,33,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Beti,Beti,No,,FACT,4,1,30,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Yadim,Yadim,No,,FACT,3,0,13,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Farang,Farang,Yes,Song,FACT,2,0,12,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Ribadu,Ribadu,Yes,Mayo-Belwa,FACT,1,1,8,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Bole Yolde Pate,Uki Tuki,Yes,Yola North; Yola South,FACT,0,1,6,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
