cluster_id,iom_site_id,iom_site_name,iom_site_type,iom_site_ward,region,adm1_pcode,adm1_name,adm2_pcode,adm2_name,latitude,longitude,households_in_cluster,n_other_sites_in_hex,flagged_camp
idp_NG008003_1,BO_S262,Gssss Camp Bama,Camp,Shehuri / Hausari / Mairi,NE,NG008,Borno,NG008003,Bama,11.505350009786454,13.685789963756156,35519,0,TRUE
idp_NG008013_7,BO_S113,El-Miskin Camp I Camp,Camp,Old Maiduguri,NE,NG008,Borno,NG008013,Jere,11.877790010381151,13.179959964237794,10642,9,TRUE
idp_NG008025_1,BO_S135,International School Camp,Camp,Ngala Ward,NE,NG008,Borno,NG008025,Ngala,12.35903001179322,14.170399963467975,9937,0,TRUE
idp_NG008024_5,BO_S097,Water Board,Collective Settlement/Centre,Monguno,NE,NG008,Borno,NG008024,Monguno,12.684260012226522,13.614689963994822,9613,1,TRUE
idp_NG008019_1,BO_S204,Government Girls' Secondary School,Collective Settlement/Centre,Mafa,NE,NG008,Borno,NG008019,Mafa,11.920330010631734,13.591529963891746,6647,3,TRUE
idp_NG008024_10,BO_S059,Government Girls Secondary School (Ggss),Collective Settlement/Centre,Monguno,NE,NG008,Borno,NG008024,Monguno,12.679540012220588,13.62305996398684,6007,14,TRUE
idp_NG008011_8,BO_S239,Reception/Transit Camp,Camp,Pulka/Bokko,NE,NG008,Borno,NG008011,Gwoza,11.231770009229573,13.776279963647152,4466,11,TRUE
idp_NG008015_3,BO_S277,Klagaru Camp,Collective Settlement/Centre,"Rann ""A""",NE,NG008,Borno,NG008015,Kala/Balge,12.26995201173064,14.467852963203326,4348,2,TRUE
idp_NG007006_7,BN_S064,Ortese Camp,IDPs In Camps,Nyiev,NC,NG007,Benue,NG007006,Guma,8.006190001291204,8.553946968148612,3864,1,TRUE
idp_NG007008_4,BN_S022,Naka Idp Camp,IDPs In Camps,Ikyaghev,NC,NG007,Benue,NG007008,Gwer West,7.583061000424215,8.201442968492326,3594,1,TRUE
idp_NG008013_17,BO_S371,Shuwari-Kaleri Housing Unit Camp,Camp,Dusuman,NE,NG008,Borno,NG008013,Jere,11.883290010441694,13.305629964130809,3305,0,TRUE
idp_NG008008_1,BO_S255,Masarmari Camp,Camp,Dikwa,NE,NG008,Borno,NG008008,Dikwa,12.04289001101439,13.901829963645824,2811,3,TRUE
idp_NG007013_5,New Camp,International Market Camp,IDPs in Camps,Fildi,NC,NG007,Benue,NG007013,Makurdi,7.699543000685967,8.56247696815531,2663,1,TRUE
idp_NG008024_1,BO_S203,Fulatari Camp,Camp,Monguno,NE,NG008,Borno,NG008024,Monguno,12.675350012202568,13.601719964004287,2585,7,TRUE
idp_NG007006_12,BN_S027,Daudu Camp 3,IDPs In Camps,Mbawa,NC,NG007,Benue,NG007006,Guma,7.901492001088177,8.588104968121868,2383,0,TRUE
idp_NG007006_14,BN_S025,Daudu Camp 1,IDPs In Camps,Mbawa,NC,NG007,Benue,NG007006,Guma,7.938028001162707,8.608842968101325,1991,0,FALSE
idp_NG008007_3,BO_S259,Low Cost Camp,Camp,Damboa,NE,NG008,Borno,NG008007,Damboa,11.170040008725946,12.704839964559062,1792,0,FALSE
idp_NG008008_6,BO_S256,1000 Camp Dikwa Camp,Camp,Dikwa,NE,NG008,Borno,NG008008,Dikwa,12.027395010989402,13.921122963627171,1492,8,FALSE
idp_NG008008_13,BO_S182,Shehuri/Modu Kasa Camp,Collective Settlement/Centre,Dikwa,NE,NG008,Borno,NG008008,Dikwa,12.043790011022342,13.91677996363328,1438,7,FALSE
idp_NG008013_3,BO_S068,Faria Gidan Block Camp,Camp,Old Maiduguri,NE,NG008,Borno,NG008013,Jere,11.867267010359935,13.181742964234788,1382,21,FALSE
idp_NG036003_2,YB_S003,Kukareta Camp,Collective Settlement/Centre,Kukareta/Warsala,NE,NG036,Yobe,NG036003,Damaturu,11.745330009728262,12.185549965080078,1299,0,FALSE
idp_NG007013_12,BN_S021,Abagena Camp,IDPs In Camps,Agan,NC,NG007,Benue,NG007013,Makurdi,7.834400000954442,8.578409968133844,1236,1,FALSE
idp_NG007006_15,BN_S069,Uikpam Camp,IDPs In Camps,Mbabai,NC,NG007,Benue,NG007006,Guma,7.971437001232432,8.641237968070337,1172,2,FALSE
idp_NG008013_16,BO_S151,Custom House,Collective Settlement/Centre,Dusuman,NE,NG008,Borno,NG008013,Jere,11.881710010429304,13.282389964150491,1151,7,FALSE
idp_NG034006_3,SO_S003,Zangon Jema,IDPs In Camps,Kagara,NW,NG034,Sokoto,NG034006,Goronyo,13.390510009996303,5.658849971289553,1150,0,FALSE
idp_NG034014_1,New Camp,30 housing estate shagari,IDPs in Camps,Shagari,NW,NG034,Sokoto,NG034014,Shagari,12.622347008558716,4.993983971764072,1125,3,FALSE
idp_NG008015_1,BO_S175,General Hospital Rann,Collective Settlement/Centre,"Rann ""A""",NE,NG008,Borno,NG008015,Kala/Balge,12.266492011723305,14.467952963202697,1106,0,FALSE
idp_NG037001_2,ZF_S015,Mangorora Area,IDPs In Camps,Dan Galadima,NW,NG037,Zamfara,NG037001,Anka,12.108890008094154,5.926949970806339,1093,1,FALSE
idp_NG008025_16,BO_S333,Zullum Camp,Camp,Ngala Ward,NE,NG008,Borno,NG008025,Ngala,12.352310011780984,14.174889963463093,1057,1,FALSE
idp_NG008013_5,BO_S212,Kessa Kura,Collective Settlement/Centre,Gongulong,NE,NG008,Borno,NG008013,Jere,11.919110010472131,13.1927299642327,924,4,FALSE
idp_NG037014_8,ZF_S029,Arabic Camp Zurmi,IDPs In Camps,Zurmi,NW,NG037,Zamfara,NG037014,Zurmi,12.788718009520556,6.778629970127483,860,3,FALSE
idp_NG008014_6,BO_S160,Nrc Camp,Camp,Benisheikh,NE,NG008,Borno,NG008014,Kaga,11.816350009989527,12.493529964821798,798,9,FALSE
idp_NG008016_8,BO_S077,Kalari Abule,Collective Settlement/Centre,Konduga,NE,NG008,Borno,NG008016,Konduga,11.734580010121585,13.283329964129408,785,1,FALSE
idp_NG037001_6,ZF_S006,Emirate Camp,IDPs In Camps,Magaji,NW,NG037,Zamfara,NG037001,Anka,12.10729000809468,5.935689970797937,776,5,FALSE
idp_NG007012_6,BN_S009,Nkst Pri Sch Anyiin,IDPs In Camps,Mbagber,NC,NG007,Benue,NG007012,Logo,7.818257000991633,9.244803967528233,669,4,FALSE
idp_NG037004_1,ZF_S010,Gidan Sama,IDPs In Camps,Magaji,NW,NG037,Zamfara,NG037004,Bukkuyum,12.111080007995366,5.639809971075063,613,0,FALSE
idp_NG002021_6,AD_S004,Malkohi Village Camp,Camp,Namtari,NE,NG002,Adamawa,NG002021,Yola South,9.192880004384072,12.376139964721707,542,1,FALSE
idp_NG008013_2,BO_S324,Ahmed Grema,Collective Settlement/Centre,Old Maiduguri,NE,NG008,Borno,NG008013,Jere,11.872570010363992,13.163799964250936,513,4,FALSE
idp_NG037007_2,ZF_S001,Mada Camp,IDPs In Camps,Mada,NW,NG037,Zamfara,NG037007,Gusau,12.141590008508569,6.923749969883889,479,4,FALSE
idp_NG002002_1,AD_S006,Daware Camp,Camp,Pariya,NE,NG002,Adamawa,NG002002,Fufore,9.41825000492633,12.59717996453458,451,1,FALSE
idp_NG007008_3,BN_S067,Rcm Pri Sch Agagbe,IDPs In Camps,Mbachohon,NC,NG007,Benue,NG007008,Gwer West,7.713844000674675,8.14301896853845,407,3,FALSE
idp_NG034015_4,SO_S017,Tanani,IDPs In Camps,Marafa East,NW,NG034,Sokoto,NG034015,Silame,12.985300009018134,4.766569972044483,370,0,FALSE
idp_NG034018_4,SO_S018,Kanwuri Sabuwa,IDPs In Camps,Romon Sarki,NW,NG034,Sokoto,NG034018,Tambuwal,12.226930007808376,4.601559972067318,359,3,FALSE
idp_NG021032_5,KT_S029,Ggss Jibia Camp,IDPs In Camps,Jibia B,NW,NG021,Katsina,NG021032,Safana,12.587000009426475,7.374699969539662,353,0,FALSE
idp_NG034016_1,SO_S009,Ramin Kura,IDPs In Camps,Magajin Gari 'A',NW,NG034,Sokoto,NG034016,Sokoto North,13.073390009334933,5.223419971632641,330,1,FALSE
idp_NG027022_4,NI_S003,Central Primary School Kuta,IDPs In Camps,Bangajiya,NC,NG027,Niger,NG027022,Shiroro,9.870555004492324,6.7080359698561685,329,3,FALSE
idp_NG036003_9,YB_S005,Kasaisa Village Camp,Camp,Gabir/Maduri,NE,NG036,Yobe,NG036003,Damaturu,11.663250009469088,11.935669965287506,292,0,FALSE
idp_NG002002_14,AD_S060,Njaccingo Camp,Camp,Bole Yolde Pate,NE,NG002,Adamawa,NG002002,Fufore,9.122500004223976,12.347279964745823,275,0,FALSE
idp_NG034013_7,SO_S032,Tsamaye Primary School,IDPs In Camps,Tsamaye,NW,NG034,Sokoto,NG034013,Sabon Birni,13.514980010327392,5.9869599710097425,267,0,FALSE
idp_NG008002_12,BO_S181,Vocational Training Centre,Collective Settlement/Centre,Lassa,NE,NG008,Borno,NG008002,Askira/Uba,10.693630007893502,13.2695799640266,253,1,FALSE
idp_NG036012_1,New Camp,Garin Kolo,Collective Settlement/Centre,Dawasa/G.Baba,NE,NG036,Yobe,NG036012,Nangere,11.977612009710493,10.92439296622289,250,0,FALSE
idp_NG007006_5,BN_S046,Lgs Quarters,IDPs In Camps,Nzorov,NC,NG007,Benue,NG007006,Guma,7.825673000966746,8.864377967873516,246,0,FALSE
idp_NG034020_11,SO_S001,30 Housing Estate,IDPs In Camps,Tureta Gari,NW,NG034,Sokoto,NG034020,Tureta,12.59705000873253,5.551439971236996,246,0,FALSE
idp_NG026004_1,NW_S020,Gurku Camp,IDPs In Camps,Gurku/Kabusu,NC,NG026,Nasarawa,NG026004,Karu,9.08368670323254,7.627123868983103,237,0,FALSE
idp_NG008002_15,BO_S273,Zadawa Camp,Collective Settlement/Centre,Zadawa / Hausari,NE,NG008,Borno,NG008002,Askira/Uba,10.648140007682343,12.90756996433394,186,2,FALSE
idp_NG034012_12,SO_S007,Gdss Gandi,IDPs In Camps,Gandi 'A',NW,NG034,Sokoto,NG034012,Rabah,12.967740009386612,5.746859971122064,183,2,FALSE
idp_NG036003_17,YB_S006,Huri Village Camp,Camp,Maisandari/Waziri Ibrahim Estate,NE,NG036,Yobe,NG036003,Damaturu,11.726520009634106,12.03585996520825,180,0,FALSE
idp_NG002002_7,AD_S019,Fufore Camp,Collective Settlement/Centre,Fufore,NE,NG002,Adamawa,NG002002,Fufore,9.207710004480631,12.677509964460526,172,1,FALSE
idp_NG002005_3,AD_S040,Angwan Kara,Collective Settlement/Centre,Damare,NE,NG002,Adamawa,NG002005,Girei,9.319740004675714,12.441359964667404,166,1,FALSE
idp_NG037010_3,ZF_S012,Dan Tasha Pri. Sch. Camp,IDPs In Camps,Dan Gulbi,NW,NG037,Zamfara,NG037010,Maru,11.652290007453676,6.248149970442329,160,0,FALSE
idp_NG002021_1,AD_S029,Sabon Pegi Ngurore Camp,Camp,Ngurore,NE,NG002,Adamawa,NG002021,Yola South,9.288390004565796,12.251149964832216,141,0,FALSE
idp_NG036007_2,YB_S035,Meleri,Collective Settlement/Centre,Gujba,NE,NG036,Yobe,NG036007,Gujba,11.51269000918817,12.002249965210028,116,0,FALSE
idp_NG021001_9,New Camp,Nadabo Primary School Camp,IDPs in Camps,Bakori A,NW,NG021,Katsina,NG021001,Bakori,11.554960007678387,7.421964969341086,100,1,FALSE
idp_NG002005_14,AD_S034,Nana Villa,Collective Settlement/Centre,Girei I,NE,NG002,Adamawa,NG002005,Girei,9.352040004762294,12.513119964605824,75,1,FALSE
idp_NG023008_1,KO_S010,Ogalaja,IDPs In Camps,Alloma,NC,NG023,Kogi,NG023008,Igalamela-Odolu,7.203656599623698,7.227487069415291,75,1,FALSE
