cluster_id,iom_site_id,iom_site_name,iom_site_type,iom_site_ward,region,adm1_pcode,adm1_name,adm2_pcode,adm2_name,latitude,longitude,households_in_cluster,n_other_sites_in_hex,flagged_camp,n_footprints_1500m,footprint_hull_area_ha
idp_NG008003_1,BO_S262,Gssss Camp Bama,Camp,Shehuri / Hausari / Mairi,NE,NG008,Borno,NG008003,Bama,11.505350009786454,13.685789963756156,35519,0,TRUE,7185,586.1954358070374
idp_NG008013_7,BO_S113,El-Miskin Camp I Camp,Camp,Old Maiduguri,NE,NG008,Borno,NG008013,Jere,11.877790010381151,13.179959964237794,10642,9,TRUE,14559,874.4146422259312
idp_NG008025_1,BO_S135,International School Camp,Camp,Ngala Ward,NE,NG008,Borno,NG008025,Ngala,12.35903001179322,14.170399963467975,9937,0,TRUE,3552,552.2969990857636
idp_NG008024_5,BO_S097,Water Board,Collective Settlement/Centre,Monguno,NE,NG008,Borno,NG008024,Monguno,12.684260012226522,13.614689963994822,9613,1,TRUE,13660,945.4862327126905
idp_NG008019_1,BO_S204,Government Girls' Secondary School,Collective Settlement/Centre,Mafa,NE,NG008,Borno,NG008019,Mafa,11.920330010631734,13.591529963891746,6647,3,TRUE,3332,435.0024764564514
idp_NG008024_10,BO_S059,Government Girls Secondary School (Ggss),Collective Settlement/Centre,Monguno,NE,NG008,Borno,NG008024,Monguno,12.679540012220588,13.62305996398684,6007,14,TRUE,12634,722.3978623010456
idp_NG008011_8,BO_S239,Reception/Transit Camp,Camp,Pulka/Bokko,NE,NG008,Borno,NG008011,Gwoza,11.231770009229573,13.776279963647152,4466,11,TRUE,9529,618.1787897700191
idp_NG008015_3,BO_S277,Klagaru Camp,Collective Settlement/Centre,"Rann ""A""",NE,NG008,Borno,NG008015,Kala/Balge,12.26995201173064,14.467852963203326,4348,2,TRUE,2886,169.94703143610062
idp_NG007006_7,BN_S064,Ortese Camp,IDPs In Camps,Nyiev,NC,NG007,Benue,NG007006,Guma,8.006190001291204,8.553946968148612,3864,1,TRUE,633,269.63055342254637
idp_NG007008_4,BN_S022,Naka Idp Camp,IDPs In Camps,Ikyaghev,NC,NG007,Benue,NG007008,Gwer West,7.583061000424215,8.201442968492326,3594,1,TRUE,6740,915.4046449409425
idp_NG008013_17,BO_S371,Shuwari-Kaleri Housing Unit Camp,Camp,Dusuman,NE,NG008,Borno,NG008013,Jere,11.883290010441694,13.305629964130809,3305,0,TRUE,1031,213.37196279917703
idp_NG008008_1,BO_S255,Masarmari Camp,Camp,Dikwa,NE,NG008,Borno,NG008008,Dikwa,12.04289001101439,13.901829963645824,2811,3,TRUE,3975,535.78076016094235
idp_NG007013_5,New Camp,International Market Camp,IDPs in Camps,Fildi,NC,NG007,Benue,NG007013,Makurdi,7.699543000685967,8.56247696815531,2663,1,TRUE,11190,1012.5792948811124
idp_NG008024_1,BO_S203,Fulatari Camp,Camp,Monguno,NE,NG008,Borno,NG008024,Monguno,12.675350012202568,13.601719964004287,2585,7,TRUE,11606,892.6191986766763
idp_NG007006_12,BN_S027,Daudu Camp 3,IDPs In Camps,Mbawa,NC,NG007,Benue,NG007006,Guma,7.901492001088177,8.588104968121868,2383,0,TRUE,4979,825.0467241681248
