survey_id,cluster_id,status,interview_number,replacement_rank,pop_type,strata_id,region,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,admin3_source,admin3_cod_pcode,admin3_cod_name,uuid_hex,building_id,confidence,building_area_m2,latitude,longitude,x_utm,y_utm,households_in_cluster,target_households,selection_count,certainty_stratum,selection_type,below_target_cluster,reallocated,original_uuid_hex_pop,supplementary_cluster,location_source,households_in_cluster_source,site_radius_m,iom_site_id,iom_site_name,iom_site_type,iom_site_ward,n_other_sites_in_hex,idp_population_category,coverage_status,exclusion_reason
non_idp_NG022015_11_HH01,non_idp_NG022015_11,primary,1,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000840037,0.7987,44.0447,10.49644485532122,4.633622456420475,2688831.419735586,1230621.0878059608,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_HH02,non_idp_NG022015_11,primary,2,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000840109,0.8157,20.7437,10.496138446858842,4.634166925921825,2688896.7663468057,1230589.3534522105,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_HH03,non_idp_NG022015_11,primary,3,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000839655,0.7955,21.8479,10.526262984799418,4.616672903265262,2686642.9148119115,1233980.2731075315,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_HH04,non_idp_NG022015_11,primary,4,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000839630,0.8185,36.1287,10.526740969616343,4.61759265635519,2686745.6996323597,1234043.100472009,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_HH05,non_idp_NG022015_11,primary,5,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000840056,0.8219,29.1621,10.49746439257117,4.631336770839478,2688559.126615424,1230723.1109315255,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_HH06,non_idp_NG022015_11,primary,6,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000839937,0.8153,18.5694,10.496398986069726,4.630863140339082,2688512.4138170574,1230594.9531043465,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_R01,non_idp_NG022015_11,reserve,NA,1,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000840118,0.841,39.0225,10.495582657568121,4.6340237538322295,2688884.42340469,1230523.278369611,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_R02,non_idp_NG022015_11,reserve,NA,2,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000840114,0.7606,16.3356,10.496616058647204,4.633886370572109,2688860.662305828,1230643.0960857319,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_R03,non_idp_NG022015_11,reserve,NA,3,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000840051,0.7961,21.6164,10.497473156570736,4.629011580838773,2688289.9539455418,1230706.6336907274,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_R04,non_idp_NG022015_11,reserve,NA,4,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000839447,0.7629,30.1816,10.497415011070904,4.630780913340116,2688495.1696772138,1230713.1518182321,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_R05,non_idp_NG022015_11,reserve,NA,5,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000839924,0.7995,26.7884,10.496554792568716,4.63115913233859,2688545.485796219,1230615.4016070594,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_11_R06,non_idp_NG022015_11,reserve,NA,6,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51507,Makawa,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_47,nga_buildings_part1_0000839409,0.7703,31.1315,10.527210568118466,4.616552245357596,2686621.732387518,1234090.165508267,511,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_12_HH01,non_idp_NG022015_12,primary,1,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51504,Kwakwaran,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_51,nga_buildings_part1_0000841196,0.7808,18.7704,10.266116516280256,4.6443480285910645,2691807.1043921197,1203762.0297323964,1382,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_12_HH02,non_idp_NG022015_12,primary,2,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51504,Kwakwaran,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_51,nga_buildings_part1_0000841301,0.7912,24.3857,10.265326802026646,4.64529097517113,2691922.2275507636,1203676.6099421033,1382,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_12_HH03,non_idp_NG022015_12,primary,3,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51504,Kwakwaran,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_51,nga_buildings_part1_0000841443,0.8771,135.851,10.264261373444919,4.643873058056661,2691765.893532223,1203541.526028401,1382,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_12_HH04,non_idp_NG022015_12,primary,4,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51504,Kwakwaran,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_51,nga_buildings_part1_0000840310,0.8707,26.1277,10.265194272193519,4.645253527810049,2691918.8762129396,1203660.8312873377,1382,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_12_HH05,non_idp_NG022015_12,primary,5,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51504,Kwakwaran,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_51,nga_buildings_part1_0000841252,0.7758,12.2432,10.267165621795334,4.645754422539225,2691962.2226481913,1203895.1215433534,1382,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_12_HH06,non_idp_NG022015_12,primary,6,NA,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51504,Kwakwaran,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_51,nga_buildings_part1_0000840536,0.8553,75.2708,10.268580166674695,4.64447420229863,2691803.371019508,1204051.13974838,1382,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
non_idp_NG022015_12_R01,non_idp_NG022015_12,reserve,NA,1,non_idp,non_idp_NG022015,NW,NG022,Kebbi,NG022015,Ngaski,51504,Kwakwaran,GRID3,NA,NA,NW_Kebbi_Ngaski_hex_51,nga_buildings_part1_0000834819,0.8478,37.931,10.24219759326785,4.634576998063542,2690852.9837691267,1200892.2564830163,1382,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,building_footprint,building_footprint_count,NA,NA,NA,NA,NA,NA,NA,covered,none
