region,adm1_pcode,adm1_name,adm2_pcode,adm2_name,pop_type,strata_id,n_pop,N_hh,n_hex,selection_type,certainty_stratum,excluded_infeasible,clusters_target_stage1,achieved_clusters,m_used,ICC,DEFF,expected_households_stage1,target_sample,achieved_sample,confidence_level_pct,target_moe_pct,projected_moe_pct,realized_moe_pct,coverage_status,exclusion_reason
NE,NG002,Adamawa,NG002001,Demsa,non_idp,non_idp_NG002001,167331.38335990906,27888.563893318176,112,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG002,Adamawa,NG002002,Fufore,non_idp,non_idp_NG002002,307659.37115097046,51276.56185849508,285,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG002,Adamawa,NG002003,Ganye,non_idp,non_idp_NG002003,281549.2809085846,46924.88015143076,128,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG002,Adamawa,NG002004,Gombi,non_idp,non_idp_NG002004,474809.9642829895,79134.99404716492,145,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG002,Adamawa,NG002005,Girei,non_idp,non_idp_NG002005,233549.8871574402,38924.9811929067,82,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG002,Adamawa,NG002006,Guyuk,non_idp,non_idp_NG002006,292051.59965133667,48675.266608556114,51,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG002,Adamawa,NG002007,Hong,non_idp,non_idp_NG002007,172829.03631591797,28804.839385986328,175,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG002,Adamawa,NG002008,Jada,non_idp,non_idp_NG002008,286402.0970840454,47733.682847340904,152,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG002,Adamawa,NG002009,Lamurde,non_idp,non_idp_NG002009,125050.096118927,20841.682686487835,77,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none
NE,NG002,Adamawa,NG002010,Madagali,non_idp,non_idp_NG002010,230544.9935913086,38424.16559855143,52,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG002,Adamawa,NG002011,Maiha,non_idp,non_idp_NG002011,100284.38202667236,16714.06367111206,73,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none
NE,NG002,Adamawa,NG002012,Mayo-Belwa,non_idp,non_idp_NG002012,175781.2287979126,29296.871466318767,153,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG002,Adamawa,NG002013,Michika,non_idp,non_idp_NG002013,202117.11120986938,33686.1852016449,54,pps,FALSE,FALSE,17,13,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG002,Adamawa,NG002014,Mubi North,non_idp,non_idp_NG002014,171837.1838760376,28639.530646006267,47,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG002,Adamawa,NG002015,Mubi South,non_idp,non_idp_NG002015,190542.81622314453,31757.136037190754,33,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG002,Adamawa,NG002016,Numan,non_idp,non_idp_NG002016,141861.62845611572,23643.604742685955,60,pps,FALSE,FALSE,17,10,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none
NE,NG002,Adamawa,NG002017,Shelleng,non_idp,non_idp_NG002017,445850.8656578064,74308.4776096344,84,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG002,Adamawa,NG002018,Song,non_idp,non_idp_NG002018,390225.2474861145,65037.54124768575,257,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG002,Adamawa,NG002019,Toungo,non_idp,non_idp_NG002019,85318.47484970093,14219.745808283487,149,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.25,covered,none
NE,NG002,Adamawa,NG002020,Yola North,non_idp,non_idp_NG002020,411500.5311508179,68583.42185846965,9,pps,FALSE,FALSE,17,5,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG002,Adamawa,NG002021,Yola South,non_idp,non_idp_NG002021,471590.6862640381,78598.44771067302,73,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NC,NG007,Benue,NG007002,Agatu,non_idp,non_idp_NG007002,67293.50702667236,11215.584504445394,61,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,103,90,10,NA,9.2,covered,none
NC,NG007,Benue,NG007006,Guma,non_idp,non_idp_NG007006,212733.10863685608,35455.51810614268,182,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NC,NG007,Benue,NG007008,Gwer West,non_idp,non_idp_NG007008,94482.75724029541,15747.126206715902,90,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.25,covered,none
NC,NG007,Benue,NG007011,Kwande,non_idp,non_idp_NG007011,415075.5465621948,69179.2577603658,147,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NC,NG007,Benue,NG007012,Logo,non_idp,non_idp_NG007012,265414.4652366638,44235.744206110634,109,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NC,NG007,Benue,NG007013,Makurdi,non_idp,non_idp_NG007013,701171.9565620422,116861.99276034038,57,pps,FALSE,FALSE,17,13,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG008,Borno,NG008001,Abadam,non_idp,non_idp_NG008001,48195.05686569214,8032.509477615356,91,pps,FALSE,FALSE,17,19,6,0.06,1.3,102,102,105,90,10,NA,9.09,covered,none
NE,NG008,Borno,NG008002,Askira/Uba,non_idp,non_idp_NG008002,133560.9821472168,22260.1636912028,148,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none
NE,NG008,Borno,NG008003,Bama,non_idp,non_idp_NG008003,315418.78089904785,52569.79681650797,249,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,106,90,10,NA,9.1,covered,none
NE,NG008,Borno,NG008004,Bayo,non_idp,non_idp_NG008004,118016.37986755371,19669.396644592285,71,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none
NE,NG008,Borno,NG008005,Biu,non_idp,non_idp_NG008005,290008.7265777588,48334.7877629598,195,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,106,90,10,NA,9.1,covered,none
NE,NG008,Borno,NG008006,Chibok,non_idp,non_idp_NG008006,161582.26644706726,26930.377741177876,92,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,107,90,10,NA,9.05,covered,none
NE,NG008,Borno,NG008007,Damboa,non_idp,non_idp_NG008007,219812.11930274963,36635.35321712494,246,pps,FALSE,FALSE,17,13,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG008,Borno,NG008008,Dikwa,non_idp,non_idp_NG008008,135424.10023498535,22570.68337249756,117,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,106,90,10,NA,9.09,covered,none
NE,NG008,Borno,NG008009,Gubio,non_idp,non_idp_NG008009,323433.2787246704,53905.54645411173,179,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG008,Borno,NG008010,Guzamala,non_idp,non_idp_NG008010,225165.82279586792,37527.63713264465,175,pps,FALSE,FALSE,17,18,6,0.06,1.3,102,102,104,90,10,NA,9.18,covered,none
NE,NG008,Borno,NG008011,Gwoza,non_idp,non_idp_NG008011,270687.35218811035,45114.558698018394,115,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,103,90,10,NA,9.23,covered,none
NE,NG008,Borno,NG008012,Hawul,non_idp,non_idp_NG008012,216236.26539611816,36039.37756601969,138,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG008,Borno,NG008013,Jere,non_idp,non_idp_NG008013,1119531.816045761,186588.63600762686,70,pps,FALSE,FALSE,17,10,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG008,Borno,NG008014,Kaga,non_idp,non_idp_NG008014,145622.51853179932,24270.419755299885,156,pps,FALSE,FALSE,17,18,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG008,Borno,NG008015,Kala/Balge,non_idp,non_idp_NG008015,45646.65709686279,7607.776182810466,74,pps,FALSE,FALSE,17,19,6,0.06,1.3,102,102,104,90,10,NA,9.13,covered,none
NE,NG008,Borno,NG008016,Konduga,non_idp,non_idp_NG008016,319246.06648254395,53207.67774709066,322,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,105,90,10,NA,9.14,covered,none
NE,NG008,Borno,NG008017,Kukawa,non_idp,non_idp_NG008017,231025.08765792847,38504.18127632141,193,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG008,Borno,NG008018,Kwaya Kusar,non_idp,non_idp_NG008018,126387.11776733398,21064.519627888996,59,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none
NE,NG008,Borno,NG008019,Mafa,non_idp,non_idp_NG008019,74375.48795890808,12395.914659818014,141,pps,FALSE,FALSE,17,20,6,0.06,1.3,102,102,107,90,10,NA,9.03,covered,none
NE,NG008,Borno,NG008020,Magumeri,non_idp,non_idp_NG008020,346925.44622802734,57820.90770467123,302,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG008,Borno,NG008021,Maiduguri,non_idp,non_idp_NG008021,1796737.5993652344,299456.2665608724,15,pps,FALSE,FALSE,17,9,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NE,NG008,Borno,NG008023,Mobbar,non_idp,non_idp_NG008023,147052.88337898254,24508.81389649709,102,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NE,NG008,Borno,NG008024,Monguno,non_idp,non_idp_NG008024,205049.8247871399,34174.97079785665,117,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,104,90,10,NA,9.18,covered,none
NE,NG008,Borno,NG008025,Ngala,non_idp,non_idp_NG008025,45467.43813705444,7577.90635617574,62,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.22,covered,none
NE,NG008,Borno,NG008026,Nganzai,non_idp,non_idp_NG008026,204562.61185073853,34093.76864178976,159,pps,FALSE,FALSE,17,18,6,0.06,1.3,102,102,104,90,10,NA,9.18,covered,none
NE,NG008,Borno,NG008027,Shani,non_idp,non_idp_NG008027,196936.64055633545,32822.77342605591,86,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG019,Kaduna,NG019007,Jema'a,non_idp,non_idp_NG019007,312479.9677658081,52079.99462763468,101,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG019,Kaduna,NG019023,Zaria,non_idp,non_idp_NG019023,646389.6385593414,107731.6064265569,33,pps,FALSE,FALSE,17,8,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG021,Katsina,NG021001,Bakori,non_idp,non_idp_NG021001,231837.17682266235,38639.529470443726,53,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021002,Batagarawa,non_idp,non_idp_NG021002,299857.46466064453,49976.24411010742,43,pps,FALSE,FALSE,17,13,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG021,Katsina,NG021003,Batsari,non_idp,non_idp_NG021003,237403.36112976074,39567.22685496012,61,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021004,Baure,non_idp,non_idp_NG021004,43627.077209472656,7271.179534912109,15,pps,FALSE,FALSE,17,10,6,0.06,1.3,102,102,102,90,10,NA,9.22,covered,none
NW,NG021,Katsina,NG021005,Bindawa,non_idp,non_idp_NG021005,205899.23796081543,34316.5396601359,41,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021006,Charanchi,non_idp,non_idp_NG021006,221895.2792816162,36982.546546936035,42,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
