region,adm1_pcode,adm1_name,adm2_pcode,adm2_name,pop_type,strata_id,n_pop,N_hh,n_hex,selection_type,certainty_stratum,excluded_infeasible,clusters_target_stage1,achieved_clusters,m_used,ICC,DEFF,expected_households_stage1,target_sample,achieved_sample,confidence_level_pct,target_moe_pct,projected_moe_pct,realized_moe_pct
NE,NG002,Adamawa,NG002001,Demsa,non_idp,non_idp_NG002001,167331.38335990906,27888.563893318176,112,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.27
NE,NG002,Adamawa,NG002002,Fufore,non_idp,non_idp_NG002002,307659.37115097046,51276.56185849508,285,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28
NE,NG002,Adamawa,NG002003,Ganye,non_idp,non_idp_NG002003,281549.2809085846,46924.88015143076,128,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.27
NE,NG002,Adamawa,NG002004,Gombi,non_idp,non_idp_NG002004,474809.9642829895,79134.99404716492,145,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.28
NE,NG002,Adamawa,NG002005,Girei,non_idp,non_idp_NG002005,233549.8871574402,38924.9811929067,82,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27
NE,NG002,Adamawa,NG002006,Guyuk,non_idp,non_idp_NG002006,292051.59965133667,48675.266608556114,51,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.28
NE,NG002,Adamawa,NG002007,Hong,non_idp,non_idp_NG002007,172829.03631591797,28804.839385986328,175,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27
NE,NG002,Adamawa,NG002008,Jada,non_idp,non_idp_NG002008,286402.0970840454,47733.682847340904,152,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27
NE,NG002,Adamawa,NG002009,Lamurde,non_idp,non_idp_NG002009,125050.096118927,20841.682686487835,77,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.26
NE,NG002,Adamawa,NG002010,Madagali,non_idp,non_idp_NG002010,230544.9935913086,38424.16559855143,52,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27
